grocery store code,candid x (longitude),candid y (latitude),name
egs120950417,-81.33101,28.50286,conway food mart
egs120950418,-81.33252,28.52402,grocery los hermanos
egs120950419,-81.32874,28.52419,morena food
egs120950420,-81.30914,28.539,las palmas deli mercado
egs120950421,-81.31137,28.52246,sedano's
egs120950422,-81.31202,28.51998,aldi
egs120950423,-81.30799,28.52274,el bravo supermarket
egs120950424,-81.31174,28.50349,publix
egs120950425,-81.33041,28.52174,publix
egs120950426,-81.23657,28.5107,aldi
egs120950427,-81.28781,28.52012,j. s. food & lotto
egs120950428,-81.26904,28.50985,sun light produce
egs120950429,-81.22411,28.40944,dillydilly
egs120950430,-81.24011,28.5244,ali meat industry
egs120950431,-81.28653,28.53916,adam halal meats & grocery
egs120950432,-81.28616,28.53916,fresh produce & fish market
egs120950433,-81.28943,28.51772,extra saving meat market
egs120950434,-81.24532,28.47724,harris teeter
egs120950435,-81.25696,28.43523,lavinap marketplace
egs120950436,-81.14655,28.5224,bumby food store
egs120950437,-81.16968,28.52353,toasty food
egs120950438,-81.18795,28.54286,baba food mart
egs120950439,-81.20812,28.53916,paramount butcher shop
egs120950440,-81.2583,28.51117,walmart neighborhood market
egs120950441,-81.2942,28.45277,price chopper
egs120950442,-81.28533,28.49238,taye's food mart
egs120950443,-81.28122,28.45711,publix
egs120950444,-81.28418,28.48948,save-a-lot
egs120950445,-81.28644,28.53638,save-a-lot
egs120950446,-81.27395,28.46422,aldi
egs120950447,-81.14937,28.53716,walmart neighborhood market
egs120950448,-81.23831,28.50869,publix
egs120950449,-81.15439,28.51397,publix
egs120950450,-81.26657,28.47034,publix
egs120950451,-81.24117,28.413,publix
egs120950452,-81.27423,28.5376,publix
egs120950453,-81.20875,28.53637,walmart neighborhood market
egs120950454,-81.26949,28.50911,latino grocery spanish food
egs120950455,-81.27629,28.54019,walmart neighborhood market
egs120950456,-81.19386,28.5256,publix
egs120950457,-81.2884,28.51359,fresco y mas
egs120950458,-81.27051,28.51078,publix
egs120950459,-81.38939,28.56551,unmatched nutrition
egs120950460,-81.41296,28.58543,otis spunkmeyer
egs120950461,-81.4304,28.55487,produce dept
egs120950462,-81.44759,28.54729,mohamed ghanie halal meats
egs120950463,-81.43971,28.54561,roadrunner food mart
egs120950464,-81.45769,28.55221,new golden sparkling supermarket
egs120950465,-81.38939,28.56583,college park makers market
egs120950466,-81.45105,28.57785,pine hill food mart
egs120950467,-81.39001,28.54568,p & d supermarket
egs120950468,-81.43057,28.56136,mercy food
egs120950469,-81.39137,28.54932,global food concepts
egs120950470,-81.45939,28.55306,shop & go superette
egs120950471,-81.45458,28.57806,olympia food store
egs120950472,-81.45408,28.55229,florida gift fruit shippers association
egs120950473,-81.4475,28.55358,blue crab produce market
egs120950474,-81.4178,28.55262,african choice food market
egs120950475,-81.45171,28.57679,caribbean market & farm
egs120950476,-81.45541,28.55142,aldi
egs120950477,-81.39315,28.55243,arena food store
egs120950478,-81.45034,28.55356,caribbean supercenter
egs120950479,-81.38904,28.54511,sunlite grocery
egs120950480,-81.45255,28.55099,tan tien oriental market
egs120950481,-81.40863,28.54466,caribbean food market
egs120950482,-81.45011,28.55235,1st oriental supermarket
egs120950483,-81.38888,28.56979,publix
egs120950484,-81.43952,28.61756,right way food store
egs120950485,-81.38531,28.60327,gold coast growers
egs120950486,-81.39648,28.6272,new york deli cafe
egs120950487,-81.4249,28.62586,market to win it
egs120950488,-81.41418,28.60945,sanchez lara family sprmkt
egs120950489,-81.42743,28.62616,lil champ 189
egs120950490,-81.44009,28.61796,colorado choice distributors
egs120950491,-81.42169,28.59778,harvest meat
egs120950492,-81.4183,28.59687,allstate food marketing
egs120950493,-81.41001,28.60711,mi mexico meat market
egs120950494,-81.45003,28.59632,fresh market
egs120950495,-81.42916,28.61075,publix
egs120950496,-81.40648,28.60321,l r mini mart
egs120950497,-81.3944,28.60468,walmart neighborhood market
egs120950498,-81.41622,28.61161,sacks grocery outlets
egs120950499,-81.43084,28.61054,save-a-lot
egs120950500,-81.3933,28.59656,myung sung grocery
egs120950501,-81.39362,28.59669,mediterranean deli
egs120950502,-81.42673,28.60786,las primas meat market
egs120950503,-81.45449,28.61215,walmart neighborhood market
egs120950504,-81.40927,28.60548,woo sung oriental food mart
egs120950505,-81.3425,28.55324,aldi
egs120950506,-81.37274,28.5684,ivanhoe grocery
egs120950507,-81.36331,28.55318,food city
egs120950508,-81.36447,28.56004,mills50 community market
egs120950509,-81.36442,28.55559,international food usa
egs120950510,-81.37292,28.56417,iga
egs120950511,-81.35193,28.54685,lee tg foods
egs120950512,-81.36448,28.554,trung my
egs120950513,-81.37918,28.55538,virgin olive market
egs120950514,-81.34553,28.55615,target
egs120950515,-81.34378,28.56788,florida & co
egs120950516,-81.36442,28.56182,district market at mills 50
egs120950517,-81.34395,28.56788,east end market
egs120950518,-81.36557,28.56505,the fresh market
egs120950519,-81.37268,28.56817,artichoke red
egs120950520,-81.34847,28.55285,total wine & more
egs120950521,-81.36442,28.55538,british shoppe
